 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 2 0 0 0
 4 2 0 0 1
 5 2 0 0 1
 6 2 0 0 1
 7 2 0 0 1
 8 2 0 0 1
 9 2 0 0 1
 10 2 0 0 1
 11 2 0 0 1
 12 2 0 0 1
 13 2 0 0 1
 14 2 0 0 1
 15 2 0 0 1
 16 2 0 0 1
 17 2 0 0 1
 18 2 0 0 1
 19 2 0 0 1
 20 2 0 0 1
 21 2 0 0 1
 22 2 0 0 1
 23 2 0 0 1
 24 3 0 0 1
 25 4 0 1 1
 26 4 0 1 1
 27 4 0 1 1
 28 4 0 1 1
 29 4 0 1 1
 30 4 0 1 1
 31 4 0 1 1
 32 4 0 1 1
 33 4 0 1 1
 34 4 0 1 1
 35 4 0 1 1
 36 4 0 1 1
 37 4 0 1 1
 38 4 0 1 1
 39 4 0 1 1
 40 4 0 1 1
 41 4 0 1 1
 42 4 0 1 1
 43 4 0 1 1
 44 4 1 1 1
 45 4 1 1 1
 46 4 1 1 1
 47 4 1 1 1
 48 4 1 1 1
 49 4 1 1 1
 50 4 1 1 1
 51 5 1 1 1
 52 5 1 1 1
 53 5 1 1 1
 54 5 1 1 1
 55 5 1 1 1
 56 5 1 1 1
 57 5 1 1 1
 58 5 1 1 1
 59 5 1 1 1
 60 5 1 1 1
 61 5 1 1 1
 62 5 1 1 1
 63 5 1 1 1
 64 5 1 1 1
 65 5 1 1 1
 66 5 1 1 1
 67 5 1 1 1
 68 5 1 1 1
 69 5 1 1 1
 70 5 1 1 1
 71 5 1 1 1
 72 5 1 1 1
 73 5 1 1 1
 74 5 1 1 1
 75 5 1 1 1
 76 5 1 1 1
 77 5 1 1 1
 78 5 1 1 1
 79 5 1 1 1
 80 5 1 1 1
 81 6 1 1 1
 82 6 1 1 1
 83 6 1 1 1
 84 6 1 1 1
 85 6 1 1 1
 86 6 1 1 1
 87 6 1 1 1
 88 6 1 1 1
 89 6 1 1 1
 90 6 1 1 1
 91 6 1 1 1
 92 6 1 1 1
 93 6 1 1 1
 94 6 1 1 1
 95 6 1 1 1
 96 6 2 1 1
 97 6 2 1 1
 98 6 2 1 1
 99 6 2 1 1
 100 6 2 1 1
