 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 1
 3 1 0 1 2
 4 1 0 1 2
 5 1 0 2 2
 6 1 0 2 2
 7 1 0 3 2
 8 1 0 3 2
 9 1 0 3 2
 10 1 0 4 2
 11 1 0 4 2
 12 1 0 4 2
 13 2 0 5 2
 14 2 0 5 2
 15 2 0 6 2
 16 2 0 6 2
 17 2 0 6 2
 18 2 0 6 2
 19 2 0 6 2
 20 2 0 6 2
 21 2 0 6 2
 22 2 0 6 2
 23 2 0 6 2
 24 2 0 6 2
 25 2 0 6 2
 26 2 0 6 2
 27 2 0 6 2
 28 2 0 6 2
 29 2 0 6 2
 30 3 0 6 2
 31 3 0 6 2
 32 3 0 6 2
 33 3 0 6 2
 34 3 0 6 2
 35 3 0 6 2
 36 3 0 6 2
 37 3 1 6 2
 38 3 1 6 2
 39 3 1 6 2
 40 3 1 6 2
 41 3 1 6 2
 42 3 1 6 2
 43 3 1 6 2
 44 3 1 6 2
 45 3 1 6 2
 46 3 1 6 2
 47 3 1 6 2
 48 3 1 6 2
 49 3 1 6 2
 50 3 1 6 2
 51 3 1 6 2
 52 3 1 6 2
 53 3 1 6 2
 54 3 1 6 2
 55 3 1 6 2
 56 3 1 6 2
 57 3 1 6 2
 58 3 1 6 2
 59 3 1 6 2
 60 3 1 6 2
 61 3 1 6 2
 62 3 1 6 2
 63 3 1 6 2
 64 3 1 6 2
 65 3 1 6 2
 66 3 1 6 2
 67 3 1 6 2
 68 3 1 6 2
 69 3 1 6 2
 70 3 1 6 2
 71 3 1 6 2
 72 3 1 6 2
 73 3 1 6 2
 74 3 1 6 2
 75 3 1 6 2
 76 3 1 6 2
 77 3 1 6 2
 78 3 1 6 2
 79 3 1 6 2
 80 3 1 6 2
 81 3 1 6 2
 82 3 1 6 2
 83 3 1 6 2
 84 3 1 6 2
 85 3 1 6 2
 86 3 1 6 2
 87 3 1 6 2
 88 3 1 6 2
 89 3 1 6 2
 90 3 1 6 2
 91 3 1 6 2
 92 3 1 6 2
 93 3 1 6 2
 94 3 1 6 2
 95 3 1 6 2
 96 3 1 6 2
 97 3 1 6 2
 98 3 1 6 2
 99 3 1 6 2
 100 3 1 6 2
