 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 0 0
 4 0 0 0 0
 5 0 0 0 0
 6 1 0 0 0
 7 1 0 0 0
 8 1 0 0 0
 9 1 0 0 0
 10 2 0 0 0
 11 2 0 0 0
 12 2 0 0 0
 13 2 0 0 0
 14 2 0 0 0
 15 2 0 0 0
 16 2 0 0 0
 17 2 0 0 0
 18 2 0 0 0
 19 2 0 0 0
 20 2 0 0 0
 21 2 0 0 0
 22 2 0 0 0
 23 2 0 0 0
 24 2 0 0 0
 25 2 0 0 0
 26 2 0 0 0
 27 2 0 0 0
 28 2 0 1 0
 29 2 0 2 0
 30 2 0 2 0
 31 2 0 2 0
 32 2 0 2 0
 33 2 0 2 0
 34 2 0 2 0
 35 2 0 2 0
 36 2 0 2 0
 37 2 0 2 0
 38 2 0 2 0
 39 2 0 2 0
 40 2 0 2 0
 41 3 0 2 0
 42 3 0 2 0
 43 3 0 2 0
 44 3 0 2 0
 45 3 0 2 0
 46 3 0 2 0
 47 3 0 2 0
 48 3 0 2 0
 49 3 0 2 0
 50 3 0 2 0
 51 3 0 2 0
 52 3 0 2 0
 53 3 0 2 0
 54 3 0 2 0
 55 3 0 2 0
 56 3 0 2 0
 57 3 0 2 0
 58 3 0 2 0
 59 3 0 2 0
 60 3 0 2 0
 61 3 0 2 0
 62 3 0 2 0
 63 3 0 2 0
 64 3 0 2 0
 65 3 0 2 0
 66 3 0 2 0
 67 3 0 2 0
 68 3 0 2 0
 69 3 0 2 0
 70 3 0 2 0
 71 3 0 2 0
 72 3 0 2 0
 73 3 0 2 0
 74 3 0 2 0
 75 3 0 2 0
 76 3 0 2 0
 77 3 0 2 0
 78 3 0 2 0
 79 3 0 2 0
 80 3 0 2 0
 81 3 0 2 0
 82 3 0 2 0
 83 3 0 2 0
 84 3 0 2 0
 85 3 0 2 0
 86 3 0 2 0
 87 3 0 2 0
 88 3 0 2 0
 89 3 0 2 0
 90 3 0 2 0
 91 3 0 2 0
 92 3 0 2 0
 93 3 0 2 0
 94 3 0 2 0
 95 3 0 2 0
 96 3 0 2 0
 97 3 0 2 0
 98 3 0 2 0
 99 3 0 2 0
 100 3 0 2 0
