 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 1 0
 3 2 0 1 0
 4 2 0 2 0
 5 2 0 2 0
 6 3 0 2 0
 7 3 0 2 0
 8 3 0 3 0
 9 3 0 3 0
 10 3 0 3 0
 11 3 0 3 0
 12 3 0 3 0
 13 3 0 3 0
 14 3 0 3 0
 15 4 0 3 0
 16 4 0 3 0
 17 4 0 3 0
 18 4 0 3 0
 19 4 0 3 0
 20 4 0 3 0
 21 4 0 3 0
 22 4 0 3 0
 23 4 0 3 0
 24 4 0 3 0
 25 4 0 3 0
 26 4 0 3 0
 27 4 0 3 0
 28 4 0 3 0
 29 4 0 3 0
 30 4 0 3 0
 31 4 0 3 0
 32 4 0 3 0
 33 4 0 3 0
 34 4 0 3 0
 35 4 0 3 0
 36 4 0 3 0
 37 4 0 3 0
 38 4 0 3 0
 39 4 0 3 0
 40 4 0 3 0
 41 4 0 3 0
 42 4 0 3 0
 43 4 0 3 0
 44 6 0 3 0
 45 6 0 3 0
 46 6 0 3 0
 47 6 0 3 0
 48 6 0 3 0
 49 6 0 3 0
 50 6 0 3 0
 51 6 0 3 0
 52 6 0 3 0
 53 6 0 3 0
 54 6 0 3 0
 55 6 0 3 0
 56 6 0 3 0
 57 7 0 3 0
 58 7 0 3 0
 59 7 0 3 0
 60 7 0 3 0
 61 7 0 3 0
 62 7 0 3 0
 63 7 0 3 0
 64 7 0 3 0
 65 7 0 3 0
 66 7 0 3 0
 67 7 0 3 0
 68 7 0 3 0
 69 7 0 3 0
 70 7 0 3 0
 71 8 0 3 0
 72 8 0 3 0
 73 8 0 3 0
 74 8 0 3 0
 75 8 0 3 0
 76 8 0 3 0
 77 8 0 3 0
 78 8 0 3 0
 79 8 0 3 0
 80 8 0 3 0
 81 8 0 3 0
 82 8 0 3 0
 83 9 0 3 0
 84 9 0 3 0
 85 9 0 3 0
 86 9 0 3 0
 87 10 0 3 0
 88 10 0 3 0
 89 10 0 3 0
 90 10 0 3 0
 91 10 0 3 0
 92 10 0 3 0
 93 10 0 3 0
 94 10 0 3 0
 95 10 0 3 0
 96 10 0 3 0
 97 10 0 3 0
 98 10 0 3 0
 99 10 0 3 0
 100 10 0 3 0
