 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 1 0 0 0
 4 1 0 0 0
 5 1 0 0 0
 6 1 0 0 0
 7 1 0 0 0
 8 1 0 0 0
 9 1 0 0 0
 10 1 0 0 0
 11 1 0 0 0
 12 1 0 0 0
 13 1 0 0 0
 14 1 0 0 0
 15 1 0 0 0
 16 1 0 0 0
 17 1 0 0 0
 18 1 0 0 0
 19 1 0 0 0
 20 1 0 0 0
 21 1 0 0 0
 22 1 0 0 0
 23 1 0 0 0
 24 1 0 0 0
 25 1 0 0 0
 26 2 0 0 0
 27 2 0 0 0
 28 2 0 0 0
 29 2 0 0 0
 30 2 0 0 0
 31 2 0 0 0
 32 2 0 0 0
 33 2 0 0 0
 34 2 0 0 0
 35 2 0 0 0
 36 2 0 0 0
 37 2 0 0 0
 38 2 0 0 0
 39 2 0 0 0
 40 3 0 0 0
 41 3 0 0 0
 42 3 0 0 0
 43 3 0 0 0
 44 3 0 0 0
 45 3 0 0 0
 46 3 0 0 0
 47 3 0 0 0
 48 3 0 0 0
 49 3 0 1 0
 50 3 0 1 0
 51 3 0 1 0
 52 3 0 1 0
 53 3 0 1 0
 54 3 0 1 0
 55 4 0 1 0
 56 4 0 1 0
 57 4 0 1 0
 58 4 0 1 0
 59 4 0 1 0
 60 4 0 1 0
 61 4 0 1 0
 62 4 0 1 0
 63 4 0 1 0
 64 4 0 1 0
 65 4 0 1 0
 66 4 0 1 0
 67 4 0 1 0
 68 4 0 1 0
 69 4 0 1 0
 70 4 0 1 0
 71 4 0 1 0
 72 4 0 1 0
 73 4 0 1 0
 74 4 0 1 0
 75 4 0 1 0
 76 4 0 1 0
 77 4 0 1 0
 78 4 0 1 0
 79 4 0 1 0
 80 4 0 1 0
 81 4 0 1 0
 82 4 0 1 0
 83 4 0 1 0
 84 4 0 1 0
 85 4 0 1 0
 86 4 0 1 0
 87 4 0 1 0
 88 4 0 1 0
 89 4 0 1 0
 90 4 0 1 0
 91 4 0 1 0
 92 4 0 1 0
 93 4 0 1 0
 94 4 0 1 0
 95 4 0 1 0
 96 4 0 1 0
 97 4 0 1 0
 98 4 0 1 0
 99 4 0 1 0
 100 4 0 1 0
