 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 1 0
 4 0 0 1 1
 5 0 0 2 1
 6 0 0 2 1
 7 0 0 2 1
 8 0 0 2 1
 9 0 0 2 1
 10 0 0 2 1
 11 0 0 2 1
 12 0 0 3 1
 13 0 0 3 1
 14 0 0 3 2
 15 0 0 4 2
 16 0 0 4 2
 17 0 0 4 2
 18 0 0 4 2
 19 0 0 4 2
 20 0 0 4 2
 21 0 0 4 2
 22 0 0 4 2
 23 0 0 4 2
 24 0 0 4 2
 25 0 0 4 2
 26 0 0 4 2
 27 0 0 4 2
 28 0 0 4 2
 29 0 0 4 2
 30 0 0 4 2
 31 0 0 4 2
 32 0 0 4 2
 33 0 0 4 2
 34 0 0 4 2
 35 0 0 4 2
 36 0 0 4 2
 37 0 0 4 2
 38 0 0 4 2
 39 0 0 4 2
 40 0 0 4 2
 41 0 0 4 2
 42 1 0 4 2
 43 1 0 4 2
 44 1 0 4 2
 45 1 0 4 2
 46 1 0 4 2
 47 1 0 4 2
 48 1 0 4 2
 49 1 0 4 2
 50 2 0 4 2
 51 2 0 4 2
 52 2 0 4 2
 53 2 0 4 2
 54 2 0 4 2
 55 2 0 4 2
 56 2 0 4 2
 57 2 0 4 2
 58 2 0 4 2
 59 2 0 4 2
 60 2 0 4 2
 61 2 0 4 2
 62 2 0 4 2
 63 2 0 4 2
 64 2 0 4 2
 65 2 0 4 2
 66 2 0 4 2
 67 2 0 4 2
 68 2 0 4 2
 69 2 0 4 2
 70 2 0 4 2
 71 2 0 4 2
 72 2 0 4 2
 73 2 0 4 2
 74 2 0 4 2
 75 2 0 4 2
 76 2 0 4 2
 77 2 0 4 2
 78 2 0 4 2
 79 2 0 4 2
 80 2 0 4 2
 81 2 0 4 2
 82 2 0 4 2
 83 2 0 4 2
 84 2 0 4 2
 85 2 0 4 2
 86 2 0 4 2
 87 2 0 4 2
 88 2 0 4 2
 89 2 0 4 2
 90 2 0 4 2
 91 2 0 4 2
 92 2 0 4 2
 93 2 0 4 2
 94 2 0 4 2
 95 3 0 4 2
 96 3 0 4 2
 97 3 0 4 2
 98 3 0 4 2
 99 3 0 4 2
 100 3 0 4 2
