 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 0 0
 4 1 0 0 0
 5 1 0 0 0
 6 1 0 0 0
 7 1 0 1 0
 8 1 0 1 0
 9 1 0 1 0
 10 1 0 1 0
 11 1 0 1 0
 12 1 0 2 0
 13 1 0 2 0
 14 1 0 2 0
 15 1 0 2 0
 16 1 0 2 0
 17 1 0 2 0
 18 1 0 2 0
 19 1 0 2 0
 20 1 0 2 0
 21 1 0 2 0
 22 1 0 2 0
 23 1 0 2 0
 24 1 0 2 0
 25 1 0 2 0
 26 1 0 2 0
 27 1 0 2 0
 28 1 0 2 0
 29 1 0 2 0
 30 1 0 2 0
 31 1 0 2 0
 32 1 0 2 0
 33 1 0 2 0
 34 1 0 2 0
 35 1 0 2 0
 36 1 0 2 0
 37 1 0 2 0
 38 1 0 2 0
 39 1 0 2 0
 40 1 0 2 0
 41 1 0 2 0
 42 1 0 2 0
 43 1 0 2 0
 44 1 0 2 0
 45 1 0 2 0
 46 1 0 2 0
 47 1 0 2 0
 48 1 0 2 0
 49 1 0 2 0
 50 1 0 2 0
 51 1 0 2 0
 52 1 0 2 0
 53 1 0 2 0
 54 1 0 2 0
 55 1 0 2 0
 56 1 0 2 0
 57 1 0 2 0
 58 1 0 2 0
 59 1 0 2 0
 60 1 0 2 0
 61 1 0 2 0
 62 1 0 2 0
 63 1 0 2 0
 64 1 0 2 0
 65 1 0 2 0
 66 1 0 2 0
 67 1 0 2 0
 68 1 0 2 0
 69 1 0 2 0
 70 1 0 2 0
 71 1 0 2 0
 72 1 0 2 0
 73 1 0 2 0
 74 1 0 2 0
 75 1 0 2 0
 76 1 0 2 0
 77 1 0 2 0
 78 1 0 2 0
 79 1 0 2 0
 80 1 0 2 0
 81 1 0 2 0
 82 2 0 2 0
 83 2 0 2 0
 84 2 0 2 0
 85 2 0 2 0
 86 2 0 2 0
 87 2 0 2 0
 88 2 0 2 0
 89 3 0 2 0
 90 3 0 2 0
 91 3 0 2 0
 92 3 0 2 0
 93 3 0 2 0
 94 3 0 2 0
 95 3 0 2 0
 96 3 0 2 0
 97 3 1 2 0
 98 3 1 2 0
 99 3 1 2 0
 100 4 1 2 0
