 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 0 0
 4 0 0 1 0
 5 0 0 2 0
 6 0 0 3 0
 7 0 0 3 0
 8 0 0 3 0
 9 0 0 3 0
 10 0 0 3 0
 11 0 0 3 0
 12 0 0 3 0
 13 0 0 3 0
 14 0 0 3 0
 15 0 0 3 0
 16 0 0 3 0
 17 0 0 3 0
 18 0 0 3 0
 19 0 0 3 0
 20 0 0 3 0
 21 0 0 3 0
 22 0 0 3 0
 23 0 0 3 0
 24 0 0 3 0
 25 0 0 3 0
 26 0 0 3 1
 27 0 0 3 1
 28 0 0 3 1
 29 0 0 3 1
 30 0 0 3 1
 31 0 0 3 1
 32 0 0 3 1
 33 0 0 3 1
 34 0 0 3 1
 35 0 0 3 1
 36 0 0 3 1
 37 0 0 3 1
 38 0 0 3 1
 39 0 0 3 1
 40 0 0 3 1
 41 0 0 3 1
 42 0 0 3 1
 43 0 0 3 1
 44 0 0 3 1
 45 0 0 3 1
 46 0 0 3 1
 47 0 0 3 1
 48 0 0 3 1
 49 0 0 3 1
 50 0 0 3 1
 51 0 0 3 1
 52 0 0 3 1
 53 0 0 3 1
 54 0 0 3 1
 55 0 0 4 1
 56 0 0 4 1
 57 0 0 4 1
 58 0 0 4 1
 59 0 0 4 1
 60 0 0 4 1
 61 1 0 4 1
 62 1 0 4 1
 63 1 0 4 1
 64 1 0 4 1
 65 1 0 4 1
 66 1 0 4 1
 67 1 0 4 1
 68 1 0 4 1
 69 2 0 4 1
 70 2 0 4 1
 71 2 0 4 1
 72 2 0 4 1
 73 2 0 4 1
 74 2 0 4 1
 75 2 0 4 1
 76 2 0 4 1
 77 2 0 4 1
 78 2 0 4 1
 79 2 0 4 1
 80 2 0 4 1
 81 2 0 4 1
 82 2 0 4 1
 83 2 0 4 1
 84 2 0 4 1
 85 2 0 4 1
 86 2 0 4 1
 87 2 0 4 1
 88 2 0 4 1
 89 2 0 4 1
 90 2 0 4 1
 91 2 0 4 1
 92 2 0 4 1
 93 2 0 4 1
 94 2 0 4 1
 95 2 0 4 1
 96 2 0 4 1
 97 2 0 4 1
 98 2 0 4 1
 99 2 0 4 1
 100 2 1 4 1
