 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 1 1
 3 2 0 1 1
 4 2 1 2 1
 5 2 1 2 1
 6 3 1 2 1
 7 3 1 3 1
 8 3 1 3 1
 9 3 1 4 1
 10 3 1 4 1
 11 3 1 4 1
 12 3 1 4 1
 13 3 1 4 1
 14 3 1 4 1
 15 3 1 4 1
 16 3 1 4 1
 17 3 1 4 1
 18 3 1 4 1
 19 3 1 4 1
 20 3 1 4 1
 21 3 1 4 1
 22 3 1 4 1
 23 3 1 4 1
 24 3 1 4 1
 25 3 1 4 1
 26 3 1 4 1
 27 3 1 4 1
 28 3 1 4 1
 29 3 1 4 1
 30 3 1 4 1
 31 3 1 4 1
 32 3 1 4 1
 33 3 1 4 1
 34 3 1 4 1
 35 3 1 4 1
 36 3 1 4 1
 37 3 1 4 1
 38 3 1 4 1
 39 3 1 4 1
 40 3 2 4 1
 41 3 2 4 1
 42 3 2 4 1
 43 3 2 4 1
 44 3 2 4 1
 45 3 2 4 1
 46 3 2 4 1
 47 3 2 4 1
 48 3 2 4 1
 49 3 2 4 1
 50 3 2 4 1
 51 3 2 4 1
 52 3 2 4 1
 53 3 2 4 1
 54 3 2 4 1
 55 3 2 4 1
 56 3 2 4 1
 57 3 2 4 1
 58 3 2 4 1
 59 3 2 4 1
 60 3 2 4 1
 61 3 2 4 1
 62 3 2 4 1
 63 3 2 4 1
 64 3 2 4 1
 65 3 2 4 1
 66 3 2 4 1
 67 3 2 4 1
 68 3 2 4 1
 69 3 2 4 1
 70 3 2 4 1
 71 3 2 4 1
 72 3 2 4 1
 73 3 2 4 1
 74 3 2 4 1
 75 3 2 4 1
 76 3 2 4 1
 77 3 2 4 1
 78 3 2 4 1
 79 3 2 4 1
 80 3 2 4 1
 81 3 2 4 1
 82 3 2 4 1
 83 3 2 4 1
 84 3 2 4 1
 85 3 2 4 1
 86 3 2 4 1
 87 3 2 4 1
 88 3 2 4 1
 89 3 2 4 1
 90 3 2 4 1
 91 3 2 4 1
 92 3 2 4 1
 93 3 2 4 1
 94 3 2 4 1
 95 3 2 4 1
 96 3 2 4 1
 97 3 2 4 1
 98 3 2 4 1
 99 3 2 4 1
 100 3 2 4 1
