 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 2 0 0 0
 3 3 0 0 0
 4 4 0 1 0
 5 4 0 2 0
 6 4 0 2 0
 7 4 0 2 0
 8 4 0 2 0
 9 4 0 2 0
 10 4 0 2 0
 11 4 0 2 0
 12 4 0 2 0
 13 4 0 3 0
 14 4 0 3 0
 15 4 0 3 0
 16 4 0 3 0
 17 4 0 3 0
 18 4 0 3 0
 19 4 0 3 0
 20 4 0 3 0
 21 4 0 3 0
 22 4 0 4 0
 23 4 0 5 0
 24 4 0 5 0
 25 4 0 5 0
 26 4 0 5 0
 27 4 0 5 0
 28 5 0 5 0
 29 5 0 5 0
 30 5 0 5 0
 31 5 0 5 0
 32 5 0 5 0
 33 5 0 5 0
 34 5 0 5 0
 35 5 0 5 0
 36 5 0 5 0
 37 5 0 5 0
 38 5 0 5 0
 39 5 0 5 0
 40 5 0 5 0
 41 6 0 5 0
 42 6 0 5 0
 43 6 0 5 0
 44 6 0 5 0
 45 6 0 5 0
 46 6 0 5 0
 47 6 0 5 0
 48 6 0 5 0
 49 6 0 5 0
 50 6 0 5 0
 51 6 0 5 0
 52 6 0 5 0
 53 6 0 5 0
 54 7 0 5 0
 55 7 0 5 0
 56 7 0 5 0
 57 7 0 5 0
 58 7 0 5 0
 59 7 0 5 0
 60 7 0 5 0
 61 7 0 5 0
 62 7 0 5 0
 63 7 0 5 0
 64 7 0 5 0
 65 7 0 5 0
 66 7 0 5 0
 67 7 0 5 0
 68 7 0 5 0
 69 7 0 5 0
 70 7 0 5 0
 71 7 0 5 0
 72 7 0 5 0
 73 7 0 5 0
 74 7 0 5 0
 75 7 0 5 0
 76 7 0 5 0
 77 8 0 5 0
 78 8 0 5 0
 79 8 0 5 0
 80 8 0 5 0
 81 8 0 5 0
 82 8 0 5 0
 83 8 0 5 0
 84 8 0 5 0
 85 8 0 5 0
 86 8 0 5 0
 87 8 0 5 0
 88 8 0 5 0
 89 9 0 5 0
 90 9 0 5 0
 91 9 0 5 0
 92 9 0 5 0
 93 9 0 5 0
 94 9 0 5 0
 95 9 0 5 0
 96 9 0 5 0
 97 9 0 5 0
 98 9 0 5 0
 99 9 0 5 0
 100 9 0 5 0
