 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 1
 3 0 0 0 1
 4 0 1 1 1
 5 0 1 1 1
 6 0 1 2 1
 7 0 1 2 1
 8 1 1 2 1
 9 1 1 3 1
 10 1 1 3 1
 11 1 1 3 1
 12 1 1 3 1
 13 1 1 3 1
 14 1 1 3 1
 15 1 1 3 1
 16 1 1 3 1
 17 1 1 3 1
 18 1 1 3 1
 19 1 1 3 1
 20 1 1 3 1
 21 1 1 3 1
 22 1 1 3 1
 23 1 1 3 1
 24 1 1 3 1
 25 1 1 3 1
 26 1 1 3 1
 27 1 1 3 1
 28 1 1 3 1
 29 1 1 3 1
 30 1 1 3 1
 31 1 1 3 1
 32 1 1 3 1
 33 1 1 3 1
 34 1 1 3 1
 35 1 1 3 1
 36 1 1 3 1
 37 1 1 3 1
 38 1 1 3 1
 39 1 1 3 1
 40 1 1 3 1
 41 1 1 3 1
 42 1 1 3 1
 43 1 1 3 1
 44 1 1 3 1
 45 1 1 3 1
 46 1 1 3 1
 47 1 1 3 1
 48 1 1 3 1
 49 1 1 3 1
 50 1 1 3 1
 51 1 1 3 1
 52 1 1 3 1
 53 1 1 3 1
 54 1 1 3 1
 55 1 1 3 1
 56 1 1 3 1
 57 1 1 3 1
 58 1 1 3 1
 59 1 1 3 1
 60 1 1 3 1
 61 1 1 3 1
 62 1 1 3 1
 63 1 1 3 1
 64 1 1 3 1
 65 1 1 3 1
 66 1 1 3 1
 67 2 1 3 1
 68 2 1 3 1
 69 2 1 3 1
 70 2 1 3 1
 71 2 1 3 1
 72 2 1 3 1
 73 2 1 3 1
 74 2 2 3 1
 75 2 2 3 1
 76 2 2 3 1
 77 2 2 3 1
 78 2 2 3 1
 79 3 2 3 1
 80 3 2 3 1
 81 3 2 3 1
 82 3 2 3 1
 83 3 2 3 1
 84 3 2 3 1
 85 3 2 3 1
 86 3 2 3 1
 87 3 2 3 1
 88 3 2 3 1
 89 3 2 3 1
 90 3 2 3 1
 91 3 2 3 1
 92 3 2 3 1
 93 3 2 3 1
 94 3 2 3 1
 95 3 2 3 1
 96 3 2 3 1
 97 3 2 3 1
 98 3 2 3 1
 99 3 2 3 1
 100 3 2 3 1
