 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 1 0
 3 1 0 1 0
 4 1 0 2 0
 5 1 0 3 0
 6 1 0 4 0
 7 1 0 5 0
 8 1 0 5 0
 9 1 0 5 0
 10 1 0 5 0
 11 1 0 5 0
 12 1 0 5 0
 13 1 0 5 0
 14 1 0 5 0
 15 1 0 5 0
 16 1 0 5 0
 17 1 0 5 0
 18 1 0 5 0
 19 1 0 5 0
 20 1 0 5 0
 21 1 0 5 0
 22 1 0 6 0
 23 1 0 6 0
 24 1 0 6 0
 25 1 0 6 0
 26 1 0 6 0
 27 2 0 6 0
 28 2 0 6 0
 29 3 0 6 0
 30 3 0 6 0
 31 3 0 6 0
 32 3 0 6 0
 33 3 0 6 0
 34 3 0 6 0
 35 3 0 6 0
 36 3 0 6 0
 37 3 0 6 0
 38 3 0 6 0
 39 3 0 6 0
 40 3 0 6 0
 41 3 0 6 0
 42 3 0 6 0
 43 3 0 6 0
 44 3 0 6 0
 45 3 0 6 0
 46 3 0 6 0
 47 3 0 6 0
 48 3 0 6 0
 49 3 0 6 0
 50 3 0 6 0
 51 3 0 6 0
 52 3 0 6 0
 53 3 0 6 0
 54 3 0 6 0
 55 3 0 6 0
 56 3 0 6 0
 57 3 0 6 0
 58 3 0 6 0
 59 3 0 6 0
 60 3 0 6 0
 61 3 0 6 0
 62 3 0 6 0
 63 3 0 6 0
 64 3 0 6 0
 65 3 0 6 0
 66 3 0 6 0
 67 3 0 6 0
 68 3 0 6 0
 69 3 0 6 0
 70 3 0 6 0
 71 4 0 6 0
 72 4 0 6 0
 73 4 0 6 0
 74 4 0 6 0
 75 4 0 6 0
 76 4 0 6 0
 77 4 0 6 0
 78 4 0 6 0
 79 4 0 6 0
 80 4 0 6 0
 81 4 0 6 0
 82 4 0 6 0
 83 4 0 6 0
 84 4 0 6 0
 85 4 0 6 0
 86 4 0 6 0
 87 4 0 6 0
 88 4 0 6 0
 89 4 0 6 0
 90 5 0 6 0
 91 5 0 6 0
 92 5 0 6 0
 93 5 0 6 0
 94 5 0 6 0
 95 5 0 6 0
 96 5 0 6 0
 97 5 0 6 0
 98 5 0 6 0
 99 5 0 6 0
 100 5 0 6 0
