 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 1 0
 3 2 0 1 0
 4 2 0 2 0
 5 2 0 2 0
 6 2 0 2 0
 7 2 0 2 0
 8 2 0 2 0
 9 2 0 2 0
 10 2 0 2 0
 11 2 0 2 0
 12 2 0 2 0
 13 2 0 2 0
 14 2 0 2 0
 15 2 0 2 0
 16 2 0 2 0
 17 2 0 2 0
 18 2 0 2 0
 19 2 0 2 0
 20 2 0 2 0
 21 2 0 2 0
 22 2 0 3 0
 23 2 0 3 0
 24 2 0 3 0
 25 2 0 3 0
 26 2 0 4 0
 27 2 0 4 0
 28 2 0 4 0
 29 2 0 4 0
 30 2 0 4 0
 31 2 0 4 0
 32 2 0 4 0
 33 2 0 4 0
 34 2 0 4 0
 35 2 0 4 1
 36 2 0 4 1
 37 2 0 4 1
 38 2 0 4 1
 39 2 0 4 1
 40 2 0 4 1
 41 2 0 4 1
 42 2 0 4 1
 43 2 0 4 1
 44 2 0 4 1
 45 2 0 4 1
 46 2 0 4 1
 47 2 0 4 1
 48 2 0 4 1
 49 2 0 4 1
 50 2 0 4 1
 51 2 0 4 1
 52 2 0 4 1
 53 2 0 4 1
 54 2 0 4 1
 55 2 0 4 1
 56 2 0 4 1
 57 2 0 4 1
 58 2 0 4 1
 59 2 0 4 1
 60 2 0 4 1
 61 2 0 4 1
 62 2 0 4 1
 63 2 0 4 1
 64 2 0 4 1
 65 2 0 4 1
 66 2 0 4 1
 67 2 0 4 1
 68 2 0 4 1
 69 2 0 4 1
 70 2 0 4 1
 71 2 0 4 1
 72 2 0 4 1
 73 2 0 4 1
 74 2 0 4 1
 75 2 0 4 1
 76 2 0 4 1
 77 2 0 4 1
 78 2 0 4 1
 79 2 0 4 1
 80 2 0 4 1
 81 2 0 4 1
 82 2 0 4 1
 83 2 0 4 1
 84 2 0 4 1
 85 3 0 4 1
 86 3 0 4 1
 87 3 0 4 1
 88 3 0 4 1
 89 3 0 4 1
 90 3 0 4 1
 91 3 0 4 1
 92 3 0 4 1
 93 3 0 4 1
 94 3 0 4 1
 95 3 0 4 1
 96 4 0 4 1
 97 4 0 4 1
 98 4 0 4 1
 99 4 0 4 1
 100 4 0 4 1
