 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 1 0 0
 3 0 1 0 0
 4 1 1 0 0
 5 1 1 0 0
 6 1 1 0 0
 7 1 1 0 0
 8 1 1 0 0
 9 1 1 1 0
 10 1 1 1 0
 11 1 1 1 0
 12 1 1 1 0
 13 1 1 2 0
 14 1 1 2 0
 15 1 1 2 0
 16 1 1 2 0
 17 1 1 2 0
 18 1 1 2 0
 19 1 1 2 0
 20 1 1 2 0
 21 1 1 2 0
 22 1 1 2 0
 23 1 1 2 0
 24 1 1 2 0
 25 1 1 2 0
 26 1 1 2 0
 27 1 1 2 0
 28 1 1 2 0
 29 1 1 2 0
 30 1 1 2 0
 31 1 1 2 0
 32 1 1 2 0
 33 1 1 2 0
 34 1 1 2 0
 35 1 1 2 0
 36 1 1 2 0
 37 1 1 2 0
 38 1 1 2 0
 39 1 1 2 0
 40 1 1 2 0
 41 1 1 2 0
 42 1 1 2 0
 43 1 1 2 0
 44 1 1 2 0
 45 1 1 2 0
 46 1 1 2 0
 47 1 1 2 0
 48 2 1 2 0
 49 2 1 2 0
 50 2 1 2 0
 51 2 1 2 0
 52 2 1 2 0
 53 2 1 2 0
 54 2 1 2 0
 55 2 1 2 0
 56 2 1 2 0
 57 2 1 2 0
 58 2 1 2 0
 59 2 1 2 0
 60 2 1 2 0
 61 2 1 2 0
 62 2 1 2 0
 63 2 1 2 0
 64 2 1 2 0
 65 2 1 2 0
 66 2 1 2 0
 67 2 1 2 0
 68 2 1 2 0
 69 2 1 2 0
 70 2 1 2 0
 71 2 1 2 0
 72 2 1 2 0
 73 2 1 2 0
 74 2 1 2 0
 75 2 1 2 0
 76 2 1 2 0
 77 2 1 2 0
 78 2 1 2 0
 79 2 1 2 0
 80 2 1 2 0
 81 3 1 2 0
 82 3 1 2 0
 83 3 1 2 0
 84 3 1 2 0
 85 3 1 2 0
 86 3 1 2 0
 87 3 1 2 0
 88 3 1 2 0
 89 3 1 2 0
 90 3 1 2 0
 91 3 1 2 0
 92 3 1 2 0
 93 3 1 2 0
 94 3 1 2 0
 95 3 1 2 0
 96 3 1 2 0
 97 3 1 2 0
 98 3 1 2 0
 99 4 1 2 0
 100 4 1 2 0
