 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 0 0
 4 1 0 0 0
 5 1 0 2 0
 6 1 0 2 0
 7 1 0 2 0
 8 1 0 2 0
 9 1 0 2 0
 10 1 0 2 0
 11 1 0 2 1
 12 1 0 2 2
 13 1 0 2 2
 14 1 0 3 2
 15 1 0 3 2
 16 1 0 3 2
 17 1 0 3 2
 18 1 0 3 2
 19 1 0 3 2
 20 1 0 3 2
 21 1 0 3 2
 22 1 0 3 2
 23 1 0 3 2
 24 1 0 3 2
 25 1 0 3 2
 26 1 0 3 2
 27 1 0 3 2
 28 1 0 3 2
 29 1 0 3 2
 30 1 0 3 2
 31 1 0 3 2
 32 1 0 3 2
 33 1 0 3 2
 34 1 0 3 2
 35 1 0 3 2
 36 2 0 3 2
 37 2 0 3 2
 38 2 0 3 2
 39 2 0 3 2
 40 2 0 3 2
 41 2 0 3 2
 42 2 0 3 2
 43 2 0 3 2
 44 2 0 3 2
 45 2 0 3 2
 46 2 0 3 2
 47 2 0 3 2
 48 2 0 3 2
 49 2 0 3 2
 50 2 0 3 2
 51 2 0 3 2
 52 3 1 3 2
 53 3 1 3 2
 54 3 1 3 2
 55 3 1 3 2
 56 3 1 3 2
 57 3 1 3 2
 58 3 1 3 2
 59 3 1 3 2
 60 3 1 3 2
 61 3 1 3 2
 62 3 1 3 2
 63 3 1 3 2
 64 3 1 3 2
 65 3 1 3 2
 66 3 1 3 2
 67 3 1 3 2
 68 3 1 3 2
 69 3 1 3 2
 70 3 1 3 2
 71 3 1 3 2
 72 3 1 3 2
 73 3 1 3 2
 74 3 1 3 2
 75 3 1 3 2
 76 3 1 3 2
 77 3 1 3 2
 78 3 1 3 2
 79 3 1 3 2
 80 3 1 3 2
 81 3 1 3 2
 82 3 1 3 2
 83 3 1 3 2
 84 3 1 3 2
 85 3 1 3 2
 86 3 1 3 2
 87 3 1 3 2
 88 3 1 3 2
 89 3 1 3 2
 90 3 1 3 2
 91 3 1 3 2
 92 3 1 3 2
 93 3 1 3 2
 94 3 1 3 2
 95 3 1 3 2
 96 3 1 3 2
 97 3 1 3 2
 98 3 1 3 2
 99 3 1 3 2
 100 3 1 3 2
