 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 1 0 0
 3 0 1 0 0
 4 2 1 2 0
 5 2 1 4 0
 6 2 1 5 0
 7 2 1 6 0
 8 2 1 6 0
 9 2 1 6 0
 10 2 1 6 0
 11 2 1 6 0
 12 2 1 6 0
 13 2 1 6 0
 14 2 1 6 0
 15 2 1 6 0
 16 2 1 6 0
 17 2 1 6 0
 18 2 1 6 0
 19 2 1 6 0
 20 2 1 6 0
 21 2 1 6 0
 22 2 1 6 0
 23 2 1 6 0
 24 2 1 6 0
 25 2 1 6 0
 26 2 1 6 0
 27 2 1 6 0
 28 2 1 6 0
 29 2 1 6 0
 30 2 1 6 0
 31 2 1 6 0
 32 2 1 6 0
 33 2 1 6 0
 34 2 1 6 0
 35 2 1 6 0
 36 2 1 6 0
 37 2 1 6 0
 38 2 1 6 0
 39 2 1 6 0
 40 2 1 6 0
 41 2 1 6 0
 42 2 1 6 0
 43 3 1 6 0
 44 3 1 6 0
 45 3 1 6 0
 46 3 1 7 0
 47 3 1 7 0
 48 3 1 7 0
 49 3 1 7 0
 50 3 1 7 0
 51 3 1 7 0
 52 3 1 7 0
 53 4 1 7 0
 54 4 1 7 0
 55 4 1 7 0
 56 4 1 7 0
 57 4 1 7 0
 58 4 1 7 0
 59 4 1 7 0
 60 4 1 7 0
 61 4 1 7 0
 62 5 1 7 0
 63 5 1 7 0
 64 5 1 7 0
 65 5 1 7 0
 66 5 1 7 0
 67 5 1 7 0
 68 5 1 7 0
 69 5 1 7 0
 70 5 2 7 0
 71 5 2 7 0
 72 5 2 7 0
 73 5 2 7 0
 74 5 2 7 0
 75 5 2 7 0
 76 5 2 7 0
 77 5 2 7 0
 78 5 2 7 0
 79 5 2 7 0
 80 5 2 7 0
 81 5 2 7 0
 82 5 2 7 0
 83 5 2 7 0
 84 5 2 7 0
 85 5 2 7 0
 86 5 2 7 0
 87 5 2 7 0
 88 5 2 7 0
 89 5 2 7 0
 90 5 2 7 0
 91 5 2 7 0
 92 5 2 7 0
 93 5 2 7 0
 94 5 2 7 0
 95 5 2 7 0
 96 5 2 7 0
 97 5 2 7 0
 98 5 2 7 0
 99 5 2 7 0
 100 5 2 7 0
