 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 0 0
 4 0 0 0 0
 5 1 0 0 0
 6 4 0 0 0
 7 6 0 0 0
 8 7 0 0 0
 9 9 0 0 0
 10 9 0 0 0
 11 10 0 0 0
 12 10 0 0 0
 13 11 0 0 0
 14 11 0 0 0
 15 12 0 0 0
 16 12 0 0 0
 17 12 0 0 0
 18 12 0 0 0
 19 12 0 0 0
 20 12 0 0 0
 21 13 0 0 0
 22 13 0 0 0
 23 13 0 0 0
 24 13 0 0 0
 25 13 0 0 0
 26 13 0 0 0
 27 13 0 0 0
 28 13 0 0 0
 29 13 0 0 0
 30 13 0 0 0
 31 13 0 0 0
 32 13 0 0 0
 33 13 0 0 0
 34 13 0 0 0
 35 13 0 0 0
 36 13 0 0 0
 37 13 0 0 0
 38 13 0 0 0
 39 13 0 0 0
 40 13 0 0 0
 41 13 0 0 0
 42 13 0 0 0
 43 13 0 0 0
 44 13 0 0 0
 45 13 0 0 0
 46 13 0 0 0
 47 13 0 0 0
 48 13 0 0 0
 49 13 0 0 0
 50 13 0 0 0
 51 13 0 0 0
 52 13 0 0 0
 53 13 0 0 0
 54 13 0 0 0
 55 13 0 0 0
 56 13 0 0 0
 57 13 0 0 0
 58 13 0 0 0
 59 13 0 0 0
 60 13 0 0 0
 61 13 0 0 0
 62 13 0 0 0
 63 13 0 0 0
 64 13 0 0 0
 65 13 0 0 0
 66 13 0 0 0
 67 13 0 0 0
 68 13 0 0 0
 69 13 0 0 0
 70 13 0 0 0
 71 13 0 0 0
 72 13 0 0 0
 73 13 0 0 0
 74 13 0 0 0
 75 13 0 0 0
 76 13 0 0 0
 77 13 0 0 0
 78 13 0 0 0
 79 13 0 0 0
 80 13 0 0 0
 81 14 0 0 0
 82 14 0 0 0
 83 14 0 0 0
 84 14 0 0 0
 85 14 0 0 0
 86 15 0 0 0
 87 15 0 0 0
 88 15 0 0 0
 89 15 0 0 0
 90 15 0 0 0
 91 15 0 0 0
 92 15 0 0 0
 93 15 0 0 0
 94 15 0 0 0
 95 15 0 0 0
 96 15 0 0 0
 97 15 0 0 0
 98 15 0 0 0
 99 15 0 1 0
 100 15 0 1 0
