 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 0 0
 4 0 0 0 0
 5 2 0 0 0
 6 2 0 0 0
 7 2 0 0 0
 8 2 0 0 0
 9 2 0 0 0
 10 3 0 0 0
 11 6 0 0 0
 12 6 0 0 0
 13 6 0 0 0
 14 7 0 0 0
 15 7 0 0 0
 16 7 0 0 0
 17 7 0 0 0
 18 7 0 0 0
 19 8 0 0 0
 20 9 0 0 0
 21 9 0 0 0
 22 9 0 0 0
 23 9 0 0 0
 24 9 0 0 0
 25 9 0 0 0
 26 10 1 0 0
 27 10 1 0 0
 28 11 1 0 0
 29 11 1 0 0
 30 11 1 0 0
 31 12 1 0 0
 32 12 1 0 0
 33 12 1 0 0
 34 12 1 0 0
 35 12 1 0 0
 36 12 1 0 0
 37 12 1 0 0
 38 12 1 0 0
 39 13 1 0 0
 40 13 1 0 0
 41 13 1 0 0
 42 13 1 0 0
 43 13 1 0 0
 44 13 1 0 0
 45 13 1 0 0
 46 13 1 0 0
 47 13 1 0 0
 48 13 1 0 0
 49 13 1 0 0
 50 13 1 0 0
 51 13 1 0 0
 52 13 1 0 0
 53 13 1 0 0
 54 13 1 0 0
 55 13 1 0 0
 56 13 1 0 0
 57 13 1 0 0
 58 13 1 0 0
 59 13 1 0 0
 60 13 1 0 0
 61 13 1 0 0
 62 13 1 0 0
 63 13 1 0 0
 64 13 1 0 0
 65 13 1 0 0
 66 13 1 0 0
 67 13 1 0 0
 68 13 1 0 0
 69 13 1 0 0
 70 13 1 0 0
 71 13 1 0 0
 72 13 1 0 0
 73 13 1 0 0
 74 13 1 0 0
 75 13 1 0 0
 76 13 1 0 0
 77 13 1 0 0
 78 13 1 0 0
 79 13 1 0 0
 80 13 1 0 0
 81 13 1 0 0
 82 13 1 0 0
 83 13 1 0 0
 84 13 1 0 0
 85 13 1 0 0
 86 13 1 0 0
 87 13 1 0 0
 88 13 1 0 0
 89 13 1 0 0
 90 13 1 0 0
 91 13 1 0 0
 92 13 1 0 0
 93 13 1 0 0
 94 13 1 0 0
 95 13 1 0 0
 96 13 1 0 0
 97 13 1 0 0
 98 13 1 0 0
 99 13 1 0 0
 100 13 1 0 0
