 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 4 0 0 0
 4 4 0 0 0
 5 4 0 0 0
 6 5 0 0 0
 7 6 0 0 0
 8 7 0 0 0
 9 7 0 0 0
 10 7 0 0 0
 11 7 0 1 0
 12 7 0 1 0
 13 7 0 1 0
 14 7 0 1 0
 15 7 0 1 0
 16 8 0 1 0
 17 8 0 1 0
 18 8 0 1 0
 19 8 0 1 0
 20 8 0 1 0
 21 8 0 1 0
 22 8 0 1 0
 23 8 0 1 0
 24 8 0 1 0
 25 8 0 1 0
 26 8 0 1 0
 27 8 0 1 0
 28 8 0 2 0
 29 8 0 2 0
 30 8 0 2 0
 31 9 0 2 0
 32 9 0 2 0
 33 9 0 2 0
 34 9 0 2 0
 35 9 0 2 0
 36 9 0 2 0
 37 9 0 2 0
 38 9 0 2 0
 39 9 0 2 0
 40 9 0 2 0
 41 9 0 2 0
 42 9 0 2 0
 43 9 0 2 0
 44 9 0 2 0
 45 9 0 2 0
 46 9 0 2 0
 47 9 0 2 0
 48 9 0 2 0
 49 9 0 2 0
 50 9 0 2 0
 51 9 0 2 0
 52 9 0 2 0
 53 9 0 2 0
 54 9 0 2 0
 55 9 0 2 0
 56 9 0 2 0
 57 9 0 2 0
 58 9 0 2 0
 59 9 0 2 0
 60 9 0 2 0
 61 9 0 2 0
 62 9 0 2 0
 63 9 0 2 0
 64 9 0 2 0
 65 9 0 2 0
 66 9 0 2 0
 67 9 0 2 0
 68 9 0 2 0
 69 9 0 2 0
 70 9 0 2 0
 71 9 0 2 0
 72 9 0 2 0
 73 9 0 2 0
 74 9 0 2 0
 75 9 0 2 0
 76 9 0 2 0
 77 9 0 2 0
 78 9 0 2 0
 79 9 0 2 0
 80 9 0 2 0
 81 9 0 2 0
 82 9 0 2 0
 83 9 0 2 0
 84 9 0 2 0
 85 9 0 2 0
 86 9 0 2 0
 87 9 0 2 0
 88 9 0 2 0
 89 9 0 2 0
 90 9 0 2 0
 91 10 0 2 0
 92 10 0 2 0
 93 10 0 2 0
 94 10 0 2 0
 95 10 0 2 0
 96 10 0 2 0
 97 10 0 2 0
 98 10 0 2 0
 99 10 0 2 0
 100 10 0 2 0
