 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 0 0
 4 3 0 0 0
 5 3 0 0 0
 6 3 0 1 0
 7 3 0 1 0
 8 3 0 1 0
 9 4 0 1 0
 10 4 0 1 0
 11 4 0 1 0
 12 4 0 1 0
 13 4 0 1 0
 14 5 0 1 0
 15 5 0 1 0
 16 5 0 1 0
 17 5 0 1 0
 18 5 0 1 0
 19 6 0 1 0
 20 7 0 1 0
 21 7 0 1 0
 22 7 0 1 0
 23 7 0 1 0
 24 7 0 1 0
 25 7 0 1 0
 26 8 0 1 0
 27 8 0 1 0
 28 8 0 1 0
 29 8 0 1 0
 30 8 0 1 0
 31 9 0 1 0
 32 9 0 1 0
 33 9 0 1 0
 34 9 0 1 0
 35 10 0 1 0
 36 10 0 1 0
 37 10 0 1 0
 38 10 0 1 0
 39 10 0 1 0
 40 10 0 1 0
 41 10 0 1 0
 42 10 0 1 0
 43 11 0 1 0
 44 11 0 1 0
 45 11 0 1 0
 46 11 0 1 0
 47 11 0 1 0
 48 11 0 1 0
 49 11 0 1 0
 50 11 0 1 0
 51 11 0 1 0
 52 11 0 1 0
 53 11 0 1 0
 54 11 0 1 0
 55 11 0 1 0
 56 11 0 1 0
 57 11 0 1 0
 58 11 0 1 0
 59 11 0 1 0
 60 11 0 1 0
 61 11 0 1 0
 62 11 0 1 0
 63 11 1 1 0
 64 11 1 1 0
 65 11 1 1 0
 66 11 1 1 0
 67 11 1 1 0
 68 11 1 1 0
 69 11 1 1 0
 70 11 1 1 0
 71 12 1 1 0
 72 12 1 1 0
 73 12 1 1 0
 74 12 1 1 0
 75 12 1 1 0
 76 12 1 2 0
 77 12 1 2 0
 78 12 1 2 0
 79 12 1 2 0
 80 12 1 2 0
 81 12 1 2 0
 82 12 1 2 0
 83 12 1 2 0
 84 12 1 2 0
 85 12 1 2 0
 86 12 1 2 0
 87 12 1 2 0
 88 12 1 2 0
 89 12 1 2 0
 90 12 1 2 0
 91 12 1 2 0
 92 12 1 2 0
 93 12 1 2 0
 94 12 1 2 0
 95 12 1 2 0
 96 12 1 2 0
 97 12 2 2 0
 98 12 2 2 0
 99 12 2 2 0
 100 12 2 2 0
