 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 2 0 0 0
 4 2 0 0 0
 5 2 0 1 0
 6 3 0 1 0
 7 3 0 1 0
 8 3 0 1 0
 9 3 0 1 0
 10 3 0 1 0
 11 4 0 1 0
 12 4 1 1 0
 13 5 1 1 1
 14 5 1 1 1
 15 5 1 1 1
 16 6 1 1 1
 17 6 1 1 1
 18 6 1 1 1
 19 6 1 1 1
 20 7 1 1 1
 21 7 1 1 1
 22 7 1 1 1
 23 7 1 1 1
 24 7 1 1 1
 25 7 1 1 1
 26 7 1 1 1
 27 7 1 1 1
 28 7 1 1 1
 29 7 1 1 1
 30 7 1 1 1
 31 7 1 1 1
 32 7 1 1 1
 33 7 1 1 1
 34 7 1 1 1
 35 7 1 1 1
 36 7 1 1 1
 37 7 1 1 1
 38 7 1 1 1
 39 7 1 1 1
 40 7 1 1 1
 41 7 2 1 1
 42 7 2 1 1
 43 7 2 1 1
 44 7 2 1 1
 45 7 2 1 1
 46 7 2 1 1
 47 7 2 1 1
 48 7 2 1 1
 49 7 2 1 1
 50 7 2 1 1
 51 7 2 1 1
 52 7 2 1 1
 53 7 2 1 1
 54 7 2 1 1
 55 7 2 1 1
 56 7 2 1 1
 57 7 2 1 1
 58 7 2 1 1
 59 7 2 1 1
 60 7 2 1 1
 61 7 2 1 1
 62 7 2 1 1
 63 7 2 1 1
 64 7 2 1 1
 65 7 2 1 1
 66 7 2 1 1
 67 7 2 1 1
 68 7 2 1 1
 69 7 2 1 1
 70 7 2 1 1
 71 7 2 1 1
 72 7 2 1 1
 73 7 2 1 1
 74 7 2 1 1
 75 7 2 1 1
 76 7 2 1 1
 77 7 2 1 1
 78 7 2 1 1
 79 7 2 1 1
 80 7 2 1 1
 81 7 2 1 1
 82 7 2 1 1
 83 7 2 1 1
 84 8 2 1 1
 85 8 2 1 1
 86 8 2 1 1
 87 8 2 1 1
 88 8 2 1 1
 89 8 2 1 1
 90 8 2 1 1
 91 8 2 1 1
 92 9 2 1 1
 93 9 2 1 1
 94 9 2 1 1
 95 9 2 1 1
 96 9 2 1 1
 97 9 2 1 1
 98 9 2 1 1
 99 9 2 1 1
 100 9 2 1 1
