 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 2 0 0 0
 4 2 1 0 0
 5 3 1 0 0
 6 3 1 1 0
 7 3 1 1 0
 8 3 1 1 0
 9 3 1 1 0
 10 3 1 1 0
 11 3 1 1 0
 12 3 1 1 0
 13 3 1 1 0
 14 3 1 1 0
 15 3 1 1 0
 16 3 1 1 0
 17 3 1 1 0
 18 3 1 1 0
 19 3 1 1 0
 20 3 1 1 0
 21 3 1 1 0
 22 3 1 1 0
 23 3 1 1 0
 24 3 1 1 0
 25 3 1 1 0
 26 3 1 1 0
 27 3 1 1 0
 28 3 1 1 0
 29 3 1 1 0
 30 3 1 1 0
 31 3 1 1 0
 32 3 1 1 0
 33 3 1 1 0
 34 3 1 1 0
 35 3 1 1 0
 36 3 1 1 0
 37 3 1 1 0
 38 3 1 1 0
 39 3 1 1 0
 40 3 1 1 0
 41 3 2 1 0
 42 3 2 1 0
 43 3 2 1 0
 44 3 2 1 0
 45 3 2 1 0
 46 3 2 1 0
 47 4 2 1 0
 48 4 2 1 0
 49 4 2 1 0
 50 4 2 1 0
 51 4 2 1 0
 52 4 2 1 0
 53 4 2 1 0
 54 4 2 1 0
 55 4 2 1 0
 56 4 2 1 0
 57 4 2 1 0
 58 4 2 1 0
 59 4 2 1 0
 60 4 2 1 0
 61 4 2 1 0
 62 4 2 1 0
 63 4 2 1 0
 64 4 2 1 0
 65 4 2 1 0
 66 4 2 1 0
 67 4 2 1 0
 68 4 2 1 0
 69 4 2 1 0
 70 4 2 1 0
 71 4 2 1 0
 72 4 2 1 0
 73 4 2 1 0
 74 4 2 1 0
 75 4 2 1 0
 76 4 2 1 0
 77 4 2 1 0
 78 4 2 1 0
 79 4 2 2 0
 80 4 2 2 0
 81 4 2 2 0
 82 4 2 2 0
 83 4 2 2 0
 84 4 2 2 0
 85 5 2 2 0
 86 5 3 2 0
 87 5 3 2 0
 88 5 3 2 0
 89 5 3 2 0
 90 5 3 2 0
 91 5 3 2 0
 92 5 3 2 0
 93 5 3 2 0
 94 5 3 2 0
 95 5 3 2 0
 96 5 3 2 0
 97 5 3 2 0
 98 5 3 2 0
 99 5 3 2 0
 100 5 3 2 0
