 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 0 0
 4 1 0 0 0
 5 2 0 0 0
 6 3 0 0 0
 7 4 0 0 0
 8 4 0 0 0
 9 5 0 0 0
 10 5 0 0 0
 11 5 0 1 0
 12 5 0 1 0
 13 5 0 2 0
 14 7 0 2 0
 15 7 0 2 0
 16 7 0 2 0
 17 7 0 2 0
 18 7 0 2 0
 19 7 0 2 0
 20 7 0 2 0
 21 7 0 2 0
 22 7 0 2 0
 23 7 0 2 0
 24 7 0 2 0
 25 7 0 2 0
 26 7 0 2 0
 27 7 1 2 0
 28 7 1 2 0
 29 7 1 3 0
 30 8 1 3 0
 31 8 1 3 0
 32 8 1 3 0
 33 8 1 3 0
 34 8 1 3 0
 35 8 1 3 0
 36 8 1 3 0
 37 9 1 3 0
 38 9 1 3 0
 39 10 1 3 0
 40 10 1 3 0
 41 10 1 3 0
 42 10 1 3 0
 43 10 1 3 0
 44 10 1 3 0
 45 10 1 3 0
 46 10 1 3 0
 47 10 1 3 0
 48 10 1 3 0
 49 10 1 3 0
 50 10 1 3 0
 51 10 1 3 0
 52 10 1 3 0
 53 10 1 3 0
 54 10 1 3 0
 55 10 1 3 0
 56 10 1 3 0
 57 10 1 3 0
 58 10 1 3 0
 59 10 1 3 0
 60 10 1 3 0
 61 10 1 3 0
 62 10 1 3 0
 63 10 1 3 0
 64 10 1 3 0
 65 10 1 3 0
 66 10 1 3 0
 67 10 1 3 0
 68 10 1 3 0
 69 10 1 3 0
 70 10 1 3 0
 71 10 1 3 0
 72 10 1 3 0
 73 10 1 3 0
 74 10 1 3 0
 75 10 1 3 0
 76 10 1 4 0
 77 10 1 4 0
 78 10 1 4 0
 79 10 1 4 0
 80 10 1 4 0
 81 10 1 4 0
 82 10 1 4 0
 83 10 1 4 0
 84 10 1 4 0
 85 10 1 4 0
 86 10 1 4 0
 87 10 1 4 0
 88 10 1 4 0
 89 10 1 4 0
 90 10 1 4 0
 91 10 1 4 0
 92 10 1 4 0
 93 10 1 4 0
 94 10 1 4 0
 95 10 1 4 0
 96 10 1 4 0
 97 10 1 4 0
 98 10 1 4 0
 99 10 1 4 0
 100 10 1 4 0
