 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 0 0 0 0
 4 0 0 0 0
 5 0 0 1 0
 6 0 0 1 0
 7 0 0 1 0
 8 0 0 1 0
 9 0 0 1 1
 10 0 0 1 2
 11 0 0 1 2
 12 0 0 1 2
 13 0 0 1 2
 14 0 0 1 2
 15 0 0 1 2
 16 0 0 1 2
 17 0 0 1 2
 18 0 0 1 2
 19 0 0 1 2
 20 0 0 1 2
 21 0 0 1 2
 22 0 0 1 2
 23 0 0 1 2
 24 0 0 1 2
 25 0 0 1 2
 26 0 0 1 2
 27 0 0 1 2
 28 0 0 1 2
 29 0 0 1 2
 30 0 0 1 2
 31 0 0 1 2
 32 0 0 1 2
 33 0 0 1 2
 34 0 0 1 2
 35 0 0 1 2
 36 0 0 1 2
 37 0 0 1 2
 38 0 0 1 2
 39 0 0 1 2
 40 0 0 1 2
 41 1 0 1 2
 42 1 0 1 2
 43 1 0 1 2
 44 1 0 1 2
 45 1 0 1 2
 46 1 0 1 2
 47 1 0 1 2
 48 1 0 1 2
 49 1 0 1 2
 50 1 0 1 2
 51 1 0 1 2
 52 1 0 1 2
 53 1 0 1 2
 54 1 0 1 2
 55 1 0 1 2
 56 1 0 1 2
 57 1 0 1 2
 58 1 0 1 2
 59 1 0 1 2
 60 1 0 1 2
 61 1 0 1 2
 62 1 0 1 2
 63 1 0 1 2
 64 1 0 1 2
 65 1 0 1 2
 66 1 0 1 2
 67 1 0 1 2
 68 1 0 1 2
 69 1 0 1 2
 70 1 0 1 2
 71 1 0 1 2
 72 1 0 1 2
 73 1 0 1 2
 74 1 0 1 2
 75 2 0 1 2
 76 2 0 1 2
 77 2 0 1 2
 78 2 0 1 2
 79 2 0 1 2
 80 2 0 1 2
 81 2 0 1 2
 82 2 0 1 2
 83 2 0 1 2
 84 2 0 1 2
 85 2 0 1 2
 86 2 0 1 2
 87 2 0 1 2
 88 2 0 1 2
 89 2 0 1 2
 90 2 0 1 2
 91 2 0 1 2
 92 2 0 1 2
 93 2 0 1 2
 94 2 0 1 2
 95 2 0 1 2
 96 2 0 1 2
 97 2 0 1 2
 98 2 0 1 2
 99 2 0 1 2
 100 2 0 1 2
