 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 0 0
 3 1 0 0 0
 4 1 0 0 0
 5 1 0 0 0
 6 1 0 0 0
 7 1 0 0 0
 8 1 0 0 0
 9 1 0 0 0
 10 1 0 0 0
 11 1 0 0 0
 12 1 0 1 0
 13 1 0 1 0
 14 1 0 1 0
 15 1 0 1 0
 16 1 0 1 0
 17 1 0 1 0
 18 1 0 1 0
 19 1 0 1 0
 20 1 0 1 0
 21 1 0 1 0
 22 1 0 1 0
 23 1 0 1 0
 24 1 0 1 0
 25 1 0 1 0
 26 2 0 1 0
 27 2 0 1 0
 28 2 0 1 0
 29 2 0 1 0
 30 2 0 1 0
 31 2 0 1 0
 32 2 0 1 0
 33 2 0 1 0
 34 2 0 1 0
 35 2 1 1 0
 36 2 1 1 0
 37 2 1 1 0
 38 3 1 1 0
 39 3 1 1 0
 40 3 2 1 0
 41 3 2 1 0
 42 3 2 1 0
 43 3 2 1 0
 44 3 2 1 0
 45 3 2 1 0
 46 3 2 1 0
 47 3 2 1 0
 48 3 2 1 0
 49 3 2 1 0
 50 3 2 1 0
 51 3 2 1 0
 52 3 2 1 0
 53 3 2 1 0
 54 3 2 1 0
 55 3 2 1 0
 56 3 2 1 0
 57 3 2 1 0
 58 3 2 1 0
 59 3 2 1 0
 60 3 2 1 0
 61 3 2 1 0
 62 3 2 1 0
 63 3 2 1 0
 64 3 2 1 0
 65 3 2 1 0
 66 3 2 1 0
 67 3 2 1 0
 68 3 2 1 0
 69 3 2 1 0
 70 3 2 1 0
 71 3 2 1 0
 72 3 2 1 0
 73 3 2 1 0
 74 3 2 1 0
 75 3 2 1 0
 76 3 2 1 0
 77 3 2 1 0
 78 3 2 1 0
 79 3 2 1 0
 80 3 2 1 0
 81 3 2 1 0
 82 3 2 1 0
 83 3 2 1 0
 84 3 2 1 0
 85 3 2 1 0
 86 3 2 1 0
 87 3 2 1 0
 88 3 2 1 0
 89 4 2 1 0
 90 4 2 1 0
 91 4 2 1 0
 92 4 2 1 0
 93 4 2 1 0
 94 4 2 1 0
 95 4 2 1 0
 96 4 2 1 0
 97 4 2 1 0
 98 4 2 1 0
 99 4 2 1 0
 100 4 2 1 0
