 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 0 0
 4 1 0 0 0
 5 1 1 0 0
 6 1 1 0 0
 7 1 1 0 0
 8 1 1 0 0
 9 1 1 0 0
 10 1 1 0 0
 11 2 1 0 0
 12 2 1 0 0
 13 2 1 0 0
 14 2 1 0 0
 15 2 1 0 0
 16 2 1 0 0
 17 2 1 0 0
 18 2 1 0 0
 19 2 1 0 0
 20 2 1 0 0
 21 2 1 0 0
 22 2 1 0 0
 23 2 1 0 0
 24 2 1 0 0
 25 2 1 0 0
 26 2 1 0 0
 27 2 1 0 0
 28 2 1 0 0
 29 2 1 0 0
 30 3 1 0 0
 31 3 1 0 0
 32 3 1 0 0
 33 3 1 0 0
 34 3 1 0 0
 35 3 1 0 0
 36 3 1 0 0
 37 3 1 0 0
 38 3 1 0 0
 39 3 1 0 0
 40 3 1 0 0
 41 3 1 0 0
 42 3 1 0 0
 43 3 1 0 0
 44 3 1 0 0
 45 3 1 0 0
 46 3 1 0 0
 47 3 1 0 0
 48 3 1 0 0
 49 3 1 0 0
 50 3 1 0 0
 51 3 1 0 0
 52 3 1 0 0
 53 3 1 0 0
 54 3 1 0 0
 55 3 1 0 0
 56 3 1 0 0
 57 4 1 0 0
 58 4 1 0 0
 59 4 1 0 0
 60 4 1 0 0
 61 4 1 0 0
 62 4 1 0 0
 63 4 1 0 0
 64 4 1 0 0
 65 4 1 0 0
 66 4 1 0 0
 67 4 1 0 0
 68 4 1 0 0
 69 4 1 0 0
 70 4 1 0 0
 71 4 1 0 0
 72 4 1 0 0
 73 4 1 0 0
 74 4 1 0 0
 75 4 1 0 0
 76 4 1 0 0
 77 4 1 0 0
 78 4 1 0 0
 79 4 1 0 0
 80 4 1 0 0
 81 4 1 0 0
 82 4 1 0 0
 83 4 1 0 0
 84 5 1 0 0
 85 5 1 0 0
 86 5 1 0 0
 87 5 1 0 0
 88 5 1 0 0
 89 5 1 0 0
 90 5 1 0 0
 91 5 1 0 0
 92 5 1 0 0
 93 5 1 0 0
 94 5 1 0 0
 95 5 1 0 0
 96 5 1 0 0
 97 5 1 0 0
 98 5 1 0 0
 99 5 1 0 0
 100 5 1 0 0
